SEQENCE ID                     TM SP PREDICTION
Q9KP43                          0  0 i
Q9KP45                          5  0 i290-309o315-342i363-384o390-416i428-452o
Q9KP46                          0  0 o
Q9KP47                          0  0 o
Q9KP48                          0  0 o
Q9KP49                          0  0 o
Q9KP50                          0  Y n21-29c35/36o
Q9KP52                          0  0 o
Q9KP53                          0  0 o
Q9KP54                         10  0 o6-30i42-62o82-104i116-133o139-157i187-206o221-245i252-274o286-304i311-330o
Q9KP56                          0  0 o
Q9KP57                          5  0 i54-77o97-121i142-166o197-216i237-256o
Q9KP63                          1  0 o20-46i
Q9KP65                          0  0 o
Q9KP68                          0  0 o
Q9KP70                          0  0 o
Q9KP75                          6  0 i16-36o56-76i97-121o268-289i296-315o327-348i
Q9KP76                          7  0 o12-31i43-59o65-88i100-119o275-293i305-328o334-353i
Q9KP80                          0  0 o
Q9KP85                          4  0 i35-54o60-80i129-150o156-174i
Q9KP90                          0  0 o
Q9KP91                          0  0 o
Q9KP92                          0  0 o
Q9KP94                          0  0 o
Q9KP95                          0  0 o
Q9KP99                          0  Y n7-15c20/21o
Q9KPA1                          0  0 o
Q9KPA2                          0  0 o
Q9KPA7                          0  0 o
Q9KPB1                          0  Y n5-16c21/22o
Q9KPB4                          0  0 o
Q9KPB6                          0  0 o
Q9KPC0                          3  0 i12-30o42-61i175-198o
Q9KPC2                          0  0 o
Q9KPC9                          1  Y n4-14c19/20o169-187i
Q9KPD3                          2  0 i33-54o84-103i
Q9KPD7                          0  0 o
Q9KPE1                          0  0 o
Q9KPE2                          0  0 o
Q9KPE5                          1  0 i25-46o
Q9KPE6                          0  0 o
Q9KPE7                          0  0 o
Q9KPE8                          0  0 o
Q9KPF0                          0  Y n7-15c23/24o
Q9KPF1                          0  0 o
Q9KPF4                          0  0 o
Q9KPF5                          0  0 o
Q9KPG0                          1  0 o20-42i
Q9KPG9                          1  0 i21-47o
Q9KPH0                          0  0 o
Q9KPH2                          0  0 o
Q9KPI4                          0  0 o
Q9KPI5                          7  0 o38-59i66-87o99-115i122-140o152-173i185-205o211-230i
Q9KPJ0                          0  0 o
Q9KPJ1                          0  0 o
Q9KPJ4                          0  0 o
Q9KPJ7                          1  0 i12-29o
Q9KPJ8                          2  0 o20-46i58-77o
Q9KPJ9                          0  0 o
Q9KPK4                          0  0 o
Q9KPK5                          0  0 o
Q9KPK6                          0  0 o
Q9KPK8                          0  0 o
Q9KPL5                          8  Y n7-20c24/25o34-51i95-118o173-194i201-221o263-288i295-314o358-383i395-416o
Q9KPM4                          0  0 o
Q9KPM5                          0  0 o
Q9KPN2                          2  0 i264-285o297-317i
Q9KPP4                          0  0 o
Q9KPQ4                          0  Y n5-15c19/20o
Q9KPQ5                          1  0 o243-262i
Q9KPQ7                          0  0 o
Q9KPR7                          0  Y n16-26c31/32o
Q9KPS0                          0  0 o
Q9KPS1                          0  0 o
Q9KPS3                          1  0 o6-28i
Q9KPS7                          2  0 o6-28i261-283o
Q9KPT1                          0  0 o
Q9KPT3                          0  0 o
Q9KPT6                          0  0 o
Q9KPT7                          0  0 o
Q9KPU0                          0  0 o
Q9KPU2                          0  0 o
Q9KPU5                          0  0 o
Q9KPU7                          4  0 o20-43i50-72o92-118i139-164o
Q9KPV2                          0  0 o
Q9KPV3                          0  0 o
Q9KPV5                          0  0 o
Q9KPV7                          8  0 i7-40o52-71i83-104o116-136i148-168o188-206i218-239o259-279i
Q9KPV9                          4  0 o6-29i99-119o378-398i428-446o
Q9KPW0                          0  Y n6-16c20/21o
Q9KPW1                          0  Y n7-18c26/27o
Q9KPW2                          0  0 o
Q9KPW3                          0  0 o
Q9KPW4                          0  0 o
Q9KPW5                          0  0 o
Q9KPX0                          0  0 o
Q9KPX2                          0  0 o
Q9KPX5                          0  Y n5-16c24/25o
Q9KPX6                          0  0 o
Q9KPY9                          0  0 o
Q9KPZ5                          0  Y n6-20c25/26o
Q9KQ03                          0  0 o
Q9KQ04                          1  0 i29-48o
Q9KQ06                          0  0 o
Q9KQ07                          0  0 o
Q9KQ10                          0  0 o
Q9KQ12                          0  0 o
Q9KQ14                          0  Y n4-13c18/19o
Q9KQ20                          0  0 o
Q9KQ25                          0  0 o
Q9KQ38                          0  0 o
Q9KQ43                          1  Y n7-22c31/32o273-295i
Q9KQ44                          0  0 o
Q9KQ48                          0  Y n7-17c22/23o
Q9KQ65                          0  0 i
Q9KQ67                          0  0 o
Q9KQ68                          0  0 o
Q9KQ69                          2  0 i52-76o474-492i
Q9KQ70                          0  0 i
Q9KQ74                          1  0 i17-39o
Q9KQ75                          0  0 o
Q9KQ76                          0  0 i
Q9KQ77                          1  Y n4-12c16/17o26-45i
Q9KQ78                          4  Y n13-26c34/35o99-129i141-160o241-265i277-298o
Q9KQ79                          2  0 o14-39i51-70o
Q9KQ80                          7  0 i12-37o43-67i79-103o123-140i147-168o174-202i214-234o
Q9KQ81                          5  0 o33-54i75-94o100-122i143-164o184-207i
Q9KQ82                          0  0 o
Q9KQ83                          0  0 o
Q9KQA1                          0  0 o
Q9KQA4                          0  0 o
Q9KQA5                          0  0 o
Q9KQA7                          0  0 o
Q9KQA8                          1  0 o366-388i
Q9KQA9                          3  0 i20-50o70-88i109-129o
Q9KQB0                          3  0 i21-46o58-79i91-112o
Q9KQB2                          0  0 o
Q9KQB3                          0  0 o
Q9KQB4                          0  0 o
Q9KQB7                          7  0 o6-28i40-73o85-107i128-148o168-201i213-233o239-256i
Q9KQB9                          0  Y n8-18c23/24o
Q9KQC3                          9  0 o280-300i307-324o344-364i419-444o450-470i508-526o665-686i693-713o725-743i
Q9KQC6                          0  0 o
Q9KQC8                          0  0 o
Q9KQD1                          8  0 i21-40o46-64i71-88o123-141i209-231o251-269i281-305o311-328i
Q9KQD2                          0  0 o
Q9KQD6                          0  0 o
Q9KQD7                          0  0 o
Q9KQE4                          6  0 i21-41o47-68i89-121o127-154i161-182o194-217i
Q9KQE5                          6  0 i21-43o63-84i91-113o133-149i161-181o201-222i
Q9KQE6                          1  0 o15-36i
Q9KQE8                         15  0 o6-29i41-62o96-113i125-144o178-198i210-230o250-266i278-306o312-332i353-374o394-414i426-445o451-471i492-511o617-636i
Q9KQF3                          0  0 o
Q9KQF4                          0  0 o
Q9KQG5                          0  0 o
Q9KQH1                          0  0 o
Q9KQH3                          0  Y n21-29c34/35o
Q9KQH6                          0  0 i
Q9KQI1                          0  Y n6-16c21/22o
Q9KQI3                          0  0 o
Q9KQI5                          7  0 o40-63i75-95o101-121i128-147o167-187i324-347o376-398i
Q9KQJ0                          0  0 o
Q9KQJ7                          0  0 o
Q9KQJ8                          0  0 o
Q9KQK0                          0  0 o
Q9KQK3                          0  0 o
Q9KQK6                          0  0 o
Q9KQK8                          0  0 o
Q9KQL3                          0  0 o
Q9KQL4                          0  0 o
Q9KQM1                          0  0 o
Q9KQM4                          0  0 o
Q9KQN7                          0  0 o
Q9KQN8                          0  0 i
Q9KQN9                          0  0 o
Q9KQP5                         10  0 o6-22i34-52o89-112i167-187o193-211i252-274o280-302i309-332o344-370i382-403o
Q9KQP6                          0  Y n5-16c22/23o
Q9KQP7                          1  0 i12-36o
Q9KQP8                          0  Y n16-26c31/32o
Q9KQQ8                          0  0 o
Q9KQR2                          8  0 i9-29o49-73i94-111o117-136i148-167o179-199i220-239o245-265i
Q9KQS0                          4  0 i31-54o60-82i103-127o167-189i
Q9KQS1                         13  0 i7-34o46-70i82-106o112-128i140-160o172-196i217-235o241-257i295-313o325-347i354-373o379-401i413-436o
Q9KQS2                          0  0 o
Q9KQS3                          2  0 i7-27o287-309i
Q9KQS7                          0  0 o
Q9KQS9                          0  0 o
Q9KQT0                          1  0 i12-35o
Q9KQT3                          0  0 o
Q9KQT4                          0  0 o
Q9KQT5                          1  Y n6-17c22/23o38-62i
Q9KQT6                          0  Y n4-11c16/17o
Q9KQU3                          0  0 o
Q9KQU6                          3  0 o15-35i47-66o148-169i
Q9KQU7                         12  0 o20-39i46-66o90-109i121-142o148-166i200-221o241-263i299-318o324-341i353-371o457-475i482-501o
Q9KQX5                          0  0 o
Q9KQX8                          0  0 o
Q9KQX9                          2  0 o12-31i272-297o
Q9KQY6                          5  0 o20-41i53-74o86-107i156-179o191-210i
Q9KQZ8                          0  0 o
Q9KR03                          9  0 o29-55i67-84o104-129i141-164o197-221i233-251o401-422i434-457o484-507i
Q9KR08                          3  0 o16-36i128-155o175-193i
Q9KR09                          1  0 i17-38o
Q9KR11                          0  Y n5-16c22/23o
Q9KR12                          0  Y n10-20c25/26o
Q9KR13                          0  Y n8-18c23/24o
Q9KR14                          0  0 o
Q9KR16                          2  0 i14-36o279-300i
Q9KR19                          4  0 i12-37o43-63i83-105o111-132i
Q9KR21                          9  0 o295-314i335-356o376-402i414-441o447-470i482-515o535-553i560-580o600-620i
Q9KR24                          0  Y n3-14c26/27o
Q9KR25                          8  0 i181-201o221-242i263-282o302-330i342-358o378-400i439-460o480-498i
Q9KR26                          9  0 i26-48o68-89i110-128o140-162i183-201o221-244i256-276o282-308i320-341o
Q9KR33                          0  0 o
Q9KR74                          0  0 o
Q9KR86                          0  Y n15-26c38/39o
Q9KR91                          3  0 o24-42i63-85o91-110i
Q9KR96                          0  0 i
Q9KRA2                          0  0 o
Q9KRA6                          0  0 o
Q9KRB5                          0  0 o
Q9KRB6                          0  0 o
Q9KRC2                          0  0 o
Q9KRC3                          0  0 o
Q9KRC5                          0  0 o
Q9KRC6                          0  0 o
Q9KRC7                          0  0 o
Q9KRD1                          0  0 o
Q9KRD3                          0  Y n5-15c20/21o
Q9KRD6                          0  0 o
Q9KRE1                          0  0 o
Q9KRE2                          5  0 i20-44o50-68i80-100o120-138i150-169o
Q9KRE7                          6  0 i34-54o74-98i110-133o159-179i191-214o254-276i
Q9KRE9                          1  0 i21-39o
Q9KRF5                          0  0 o
Q9KRG2                          0  Y n3-13c18/19o
Q9KRH0                          0  0 o
Q9KRH1                          0  0 o
Q9KRH2                          2  0 o6-29i36-58o
Q9KRI6                          5  0 i285-305o311-338i359-380o386-408i420-440o
Q9KRI8                          1  0 o451-473i
Q9KRJ1                          1  Y n5-16c24/25o524-542i
Q9KRK0                          0  0 o
Q9KRK1                          2  0 i21-41o172-193i
Q9KRK6                         12  0 i16-33o53-71i83-101o107-130i142-166o172-192i221-248o260-279i291-309o315-339i351-371o377-397i
Q9KRM2                          0  0 o
Q9KRN0                          0  Y n6-16c21/22o
Q9KRN1                          3  0 i12-35o47-64i171-193o
Q9KRN7                          6  0 i12-34o40-60i72-88o94-110i115-135o141-164i
Q9KRP0                          0  0 o
Q9KRP2                          0  0 o
Q9KRP7                          0  0 o
Q9KRQ3                          0  Y n4-14c19/20o
Q9KRQ4                          0  0 o
Q9KRQ5                         15  0 o6-24i31-51o63-82i94-111o117-135i156-177o189-207i228-247o259-277i284-303o309-328i349-370o376-396i408-428o440-462i
Q9KRR0                          0  0 o
Q9KRR5                          9  0 o20-40i52-75o95-117i124-146o186-206i218-235o319-340i352-373o405-427i
Q9KRR8                          0  0 o
Q9KRT5                          6  0 i9-27o78-102i109-130o142-163i184-209o248-272i
Q9KRT6                          6  0 i12-33o71-94i106-129o173-193i205-227o267-287i
Q9KRT7                          0  Y n4-15c24/25o
Q9KRT8                          3  Y n8-19c24/25o267-293i354-372o392-412i
Q9KRU0                          0  Y n4-19c23/24o
Q9KRU2                          0  Y n5-15c20/21o
Q9KRU5                          0  0 o
Q9KRU7                          0  Y n7-17c21/22o
Q9KRV7                          0  0 o
Q9KRW2                          0  0 o
Q9KRW3                          2  0 i21-47o315-338i
Q9KRW5                          0  Y n13-24c29/30o
Q9KRX2                          5  Y n13-26c31/32o95-117i138-160o180-197i239-263o275-296i
Q9KRX6                          0  0 o
Q9KRY6                          0  0 o
Q9KRY7                          0  Y n7-18c23/24o
Q9KRY9                          0  0 o
Q9KRZ3                          0  0 o
Q9KRZ9                          0  0 i
Q9KS02                          0  0 o
Q9KS14                          4  0 i164-182o194-215i271-292o298-318i
Q9KS15                          5  0 i170-188o200-217i277-300o306-328i388-410o
Q9KS16                          0  0 o
Q9KS22                          2  0 o6-28i57-76o
Q9KS24                          8  0 i174-198o210-231i243-265o271-289i420-442o448-471i742-761o767-785i
Q9KS34                          7  0 o12-37i70-92o98-116i123-141o153-174i195-226o253-273i
Q9KS35                          6  0 i12-29o59-85i97-121o127-147i183-205o229-251i
Q9KS36                          0  Y n27-38c47/48o
Q9KS37                          0  Y n5-16c22/23o
Q9KS42                          1  0 i12-30o
Q9KS46                          0  Y n6-16c20/21o
Q9KS50                          1  0 i34-54o
Q9KS51                          0  0 o
Q9KS55                          1  Y n46-57c61/62o241-263i
Q9KS61                          0  0 o
Q9KS63                          0  0 o
Q9KS66                          3  Y n2-12c17/18o33-50i57-78o84-100i
Q9KS77                          0  0 o
Q9KS83                          1  Y n17-35c40/41o315-335i
Q9KS87                          7  0 o12-36i48-70o82-99i106-125o137-156i168-190o202-221i
Q9KS92                          1  Y n28-39c45/46o468-486i
Q9KS96                          0  0 o
Q9KS98                          9  0 o30-48i60-80o92-120i141-159o191-212i224-243o263-285i343-361o367-392i
Q9KSA1                          7  0 i21-42o48-67i79-101o107-128i140-158o164-181i201-219o
Q9KSA3                          0  0 o
Q9KSA4                          0  0 o
Q9KSA6                          1  Y n6-21c28/29o755-773i
Q9KSA9                          0  0 o
Q9KSB0                          2  0 o6-23i233-254o
Q9KSB2                          0  0 o
Q9KSB4                          0  0 o
Q9KSC0                          0  0 o
Q9KSC1                          0  0 o
Q9KSC2                          0  0 o
Q9KSD3                          0  Y n4-14c22/23o
Q9KSD7                          0  Y n25-32c37/38o
Q9KSD9                          2  0 i9-28o141-161i
Q9KSE2                          0  0 o
Q9KSE9                          0  0 o
Q9KSF2                          0  0 o
Q9KSF6                          0  0 o
Q9KSF7                          0  0 i
Q9KSF9                          0  0 o
Q9KSG0                          0  0 o
Q9KSG1                          6  0 i21-44o50-68i80-101o113-130i160-180o200-224i
Q9KSG3                          0  Y n12-19c24/25o
Q9KSG7                          1  Y n13-23c27/28o276-303i
Q9KSG8                          0  Y n15-28c35/36o
Q9KSG9                          7  0 i57-78o90-116i414-432o458-479i491-524o551-571i578-600o
Q9KSH1                          0  0 o
Q9KSH2                          0  0 o
Q9KSH3                          0  0 o
Q9KSH4                         10  0 i38-59o79-106i113-131o143-163i184-204o224-244i251-270o290-310i345-372o392-413i
Q9KSH5                          0  Y n4-12c24/25o
Q9KSH6                          0  Y n10-21c26/27o
Q9KSI1                         11  0 o6-34i55-73o93-124i136-160o172-194i222-242o248-270i282-301o321-350i362-387o407-425i
Q9KSI2                          4  0 i20-43o55-70i91-114o134-159i
Q9KSI3                          1  0 i52-69o
Q9KSI7                          0  Y n11-22c28/29o
Q9KSI8                          0  Y n6-17c21/22o
Q9KSJ7                          0  0 o
Q9KSK0                          0  0 o
Q9KSK1                          1  0 i206-232o
Q9KSL2                          9  0 i20-42o62-83i90-110o116-136i148-169o189-209i238-265o277-297i306-325o
Q9KSL9                          0  0 o
Q9KSM0                          0  0 o
Q9KSM2                          0  0 o
Q9KSN0                          0  0 o
Q9KSN4                          0  0 o
Q9KSP0                          0  0 o
Q9KSP1                          6  0 i7-26o32-50i62-82o88-108i120-142o148-166i
Q9KSP2                          0  0 o
Q9KSP4                          0  0 o
Q9KSP5                         11  0 o39-62i83-101o107-124i131-151o171-193i214-236o270-294i301-325o331-349i354-373o379-397i
Q9KSP7                          0  0 o
Q9KSQ4                          0  0 o
Q9KSQ8                          0  0 o
Q9KSR6                          0  0 o
Q9KSS1                          2  0 i7-25o219-239i
Q9KSS5                          6  0 i23-49o61-79i140-159o165-185i245-272o278-297i
Q9KSS9                          0  0 o
Q9KST2                          0  0 o
Q9KST6                          0  0 o
Q9KST7                          0  0 o
Q9KSU2                          0  0 o
Q9KSU3                          0  0 o
Q9KSV0                          0  0 o
Q9KSV8                          0  0 o
Q9KSW0                          0  0 o
Q9KSW1                         11  0 o12-30i37-55o61-85i92-114o163-184i384-404o410-427i448-466o472-493i505-523o535-557i
Q9KSW3                          0  0 o
Q9KSW4                          0  0 o
Q9KSW5                          0  0 o
Q9KSW9                          0  0 o
Q9KSX2                          0  0 o
Q9KSX9                          0  0 o
Q9KSY9                          3  Y n4-22c27/28o37-57i161-179o191-216i
Q9KSZ2                          0  0 o
Q9KSZ8                          0  0 o
Q9KT01                          1  Y n7-18c22/23o303-322i
Q9KT09                          0  0 o
Q9KT17                          3  0 i7-30o123-143i155-173o
Q9KT20                          1  0 o20-36i
Q9KT21                          0  0 o
Q9KT26                          0  0 o
Q9KT32                          0  Y n14-26c35/36o
Q9KT36                          0  0 o
Q9KT42                          0  0 o
Q9KT49                          0  0 o
Q9KT50                          0  0 o
Q9KT51                          0  0 o
Q9KT56                          0  0 o
Q9KT57                          0  0 o
Q9KT68                          0  Y n4-14c19/20o
Q9KT71                          0  0 o
Q9KT76                          0  0 o
Q9KT80                          0  0 o
Q9KT82                          0  0 o
Q9KT83                          0  0 o
Q9KT86                          6  0 o6-26i38-59o71-92i99-124o130-151i172-191o
Q9KT89                         10  0 i20-38o44-64i71-89o95-113i125-144o211-234i241-261o267-287i299-317o323-341i
Q9KT91                          5  Y n18-26c30/31o40-59i71-87o93-112i124-148o182-206i
Q9KT92                          0  0 o
Q9KTA6                          0  0 o
Q9KTA8                         10  0 i12-30o36-64i71-90o96-115i135-155o285-305i312-329o335-358i365-384o390-409i
Q9KTB2                          0  0 o
Q9KTB3                          0  0 o
Q9KTB5                         14  0 i46-65o71-92i101-119o125-145i166-189o195-215i236-255o261-277i289-309o339-357i369-390o402-424i436-456o476-495i
Q9KTD2                          1  0 o6-25i
Q9KTD3                          5  0 i27-47o67-88i139-159o165-184i205-238o
Q9KTD4                          0  0 o
Q9KTD6                          0  0 o
Q9KTD8                          0  0 o
Q9KTD9                          0  Y n19-30c35/36o
Q9KTE2                          0  0 o
Q9KTE3                          0  0 o
Q9KTE4                          8  0 i9-25o31-47i54-74o86-110i122-141o161-183i190-212o478-499i
Q9KTE6                          0  0 o
Q9KTE8                          1  0 o20-39i
Q9KTE9                          0  0 o
Q9KTF0                          0  0 o
Q9KTF4                          0  Y n4-15c23/24o
Q9KTG5                          2  0 o26-44i449-469o
Q9KTI5                          0  0 o
Q9KTJ1                          0  0 o
Q9KTJ2                          8  0 i114-135o155-179i191-211o231-248i260-281o344-365i400-422o442-464i
Q9KTJ6                          5  0 o25-46i66-84o90-113i153-174o194-219i
Q9KTJ7                          0  Y n8-19c23/24o
Q9KTJ9                          0  0 o
Q9KTK2                          0  0 o
Q9KTL1                          0  0 i
Q9KTM3                          0  0 i
Q9KTM4                          0  0 o
Q9KTM6                          0  0 o
Q9KTM7                          0  0 o
Q9KTN7                          0  0 o
Q9KTP3                          1  0 i21-39o
Q9KTQ6                          0  Y n10-18c24/25o
Q9KTT7                          0  0 o
Q9KTT8                          0  0 o
Q9KTT9                          0  0 o
Q9KTU1                          0  0 o
Q9KTU2                          0  0 o
Q9KTU5                          8  0 i12-35o125-148i160-181o219-246i267-293o313-331i343-365o414-432i
Q9KTU6                          3  0 o23-42i152-171o183-204i
Q9KTV1                          0  Y n4-15c23/24o
Q9KTV4                          0  Y n8-18c22/23o
Q9KTV8                          0  0 o
Q9KTW0                          6  0 i12-31o37-56i68-87o99-117i124-141o147-167i
Q9KTW1                          0  Y n14-24c28/29o
Q9KTW4                          0  0 o
Q9KTW7                          0  0 o
Q9KTW8                          0  Y n8-18c23/24o
Q9KTX0                          0  0 o
Q9KTX7                          0  0 o
Q9KTX8                          0  0 o
Q9KTX9                          0  0 o
Q9KTY0                          0  0 o
Q9KTY1                          0  0 o
Q9KTY3                          0  0 i
Q9KTY6                          5  Y n19-29c34/35o138-156i163-184o190-211i238-257o263-290i
Q9KTY7                          5  Y n15-25c30/31o454-473i480-499o505-527i548-572o584-607i
Q9KTZ1                          0  0 o
Q9KTZ4                          0  0 o
Q9KTZ6                          0  0 o
Q9KTZ9                          0  0 i
Q9KU00                          0  0 o
Q9KU02                          0  0 o
Q9KU03                          0  0 o
Q9KU05                          6  0 i12-35o295-324i336-366o386-410i431-453o512-534i
Q9KU08                          0  0 o
Q9KU09                          0  Y n8-18c23/24o
Q9KU10                          1  0 o20-45i
Q9KU11                          0  0 o
Q9KU12                          0  0 o
Q9KU21                          0  Y n5-16c20/21o
Q9KU26                          1  Y n7-18c23/24o260-280i
Q9KU29                          0  Y n12-24c29/30o
Q9KU33                          0  0 o
Q9KU34                          0  0 o
Q9KU35                          6  0 i12-35o41-59i71-90o102-126i138-159o165-192i
Q9KU36                          0  0 o
Q9KU45                          0  0 o
Q9KU52                          0  0 o
Q9KU53                          0  0 o
Q9KU56                          0  0 o
Q9KU59                          0  0 o
Q9KU61                         12  0 i7-29o41-65i77-99o119-139i151-169o195-214i226-250o282-307i319-338o344-361i370-391o403-424i
Q9KU62                          0  0 o
Q9KU64                          0  0 o
Q9KU65                          0  Y n17-25c30/31o
Q9KU66                          0  0 o
Q9KU69                          0  0 o
Q9KU73                         12  0 i12-30o50-74i86-110o130-150i162-184o190-211i232-252o264-283i309-332o352-373i385-405o411-430i
Q9KU75                          0  Y n6-16c21/22o
Q9KU77                          0  0 o
Q9KU79                          0  0 i
Q9KU80                          0  0 o
Q9KU81                          0  0 o
Q9KU82                          0  0 o
Q9KU83                          1  Y n4-22c27/28o51-71i
Q9KU85                          0  0 o
Q9KU89                          0  0 o
Q9KU96                          0  0 o
Q9KUA1                          2  Y n18-29c34/35o65-85i404-423o
Q9KUB0                          0  0 o
Q9KUC6                          0  0 o
Q9KUC7                          0  0 o
Q9KUC9                          0  Y n3-10c19/20o
Q9KUD2                          6  0 i23-41o61-84i104-132o138-163i170-191o226-248i
Q9KUD6                          0  0 o
Q9KUD9                          0  0 o
Q9KUE0                          0  Y n14-24c29/30o
Q9KUE4                          0  0 o
Q9KUE7                         10  0 i33-55o85-106i118-139o145-163i184-206o262-279i300-317o323-343i359-380o386-405i
Q9KUF0                          0  0 o
Q9KUF1                          0  0 o
Q9KUF3                          0  0 o
Q9KUF4                          1  0 o6-25i
Q9KUF5                          0  Y n6-17c35/36o
Q9KUF6                          0  Y n9-20c27/28o
Q9KUF7                          0  0 o
Q9KUF8                          0  0 o
Q9KUF9                          0  0 i
Q9KUG0                          0  0 o
Q9KUG5                          0  0 o
Q9KUH0                         11  0 o12-35i42-61o67-92i104-127o133-156i163-181o211-237i258-276o282-305i317-336o356-375i
Q9KUH3                          0  0 o
Q9KUH4                          0  0 o
Q9KUI1                          6  0 i20-43o63-86i98-121o141-159i199-223o243-265i
Q9KUI2                          6  0 i21-43o70-92i104-127o147-165i218-241o253-272i
Q9KUI3                          0  Y n6-17c21/22o
Q9KUI4                          0  0 o
Q9KUI6                          0  0 o
Q9KUI7                          0  Y n8-18c30/31o
Q9KUI8                          0  0 o
Q9KUJ2                          0  0 o
Q9KUJ3                          0  Y n3-16c34/35o
Q9KUJ6                          0  0 i
Q9KUK4                          2  0 o6-26i275-294o
Q9KUK6                          2  0 i155-174o180-201i
Q9KUL7                          0  0 o
Q9KUM6                          0  0 o
Q9KUM7                          0  Y n14-22c27/28o
Q9KUN0                          0  0 o
Q9KUN3                          0  0 o
Q9KUN5                          3  0 o30-51i71-92o104-133i
Q9KUN7                          0  0 o
Q9KUP4                          0  0 o
Q9KUP6                          0  0 o
Q9KUP9                          0  0 o
Q9KUQ5                          0  0 o
Q9KUR0                          0  0 o
Q9KUR1                          0  0 o
Q9KUR3                          0  0 o
Q9KUR4                          0  0 o
Q9KUR8                          1  0 i7-28o
Q9KUR9                          0  Y n8-19c24/25o
Q9KUS4                          0  0 o
Q9KUS5                          0  0 o
Q9KUS9                          0  0 o
Q9KUT0                          0  0 o
Q9KUT1                          0  0 o
Q9KUT2                         12  Y n5-16c25/26o41-62i82-107o127-146i167-185o205-223i235-258o285-314i335-354o360-380i392-408o414-430i442-464o
Q9KUT4                          0  0 o
Q9KUU1                          0  0 o
Q9KUU2                          0  0 o
Q9KUU6                          0  0 o
Q9KUU8                          3  Y n11-22c26/27o74-94i106-126o132-152i
Q9KUU9                          0  Y n15-25c30/31o
Q9KUW4                          0  0 o
Q9KUW8                          0  0 o
Q9KUX0                         13  0 o6-24i31-48o68-88i100-122o128-151i172-191o203-226i233-250o256-274i295-313o319-343i364-382o394-415i
Q9KUY0                          0  0 o
Q9KUY9                          0  0 o
Q9KUZ0                          0  0 i
Q9KUZ1                          0  0 o
Q9KUZ2                          0  0 o
Q9KUZ7                          0  0 o
Q9KUZ8                          0  0 i
Q9KUZ9                          0  0 o
Q9KV01                          0  0 o
Q9KV02                          0  0 o
Q9KV04                          0  Y n7-18c22/23o
Q9KV08                          0  Y n4-17c28/29o
Q9KV09                          1  0 o68-90i
Q9KV10                          0  0 o
Q9KV13                          0  0 o
Q9KV14                          0  Y n16-27c34/35o
Q9KV17                          0  0 o
Q9KV31                          0  0 o
Q9KV32                          0  0 o
Q9KV33                          0  0 i
Q9KV34                          0  0 o
Q9KV35                          0  0 o
Q9KV36                          3  0 i20-37o43-64i96-121o
Q9KV38                          0  0 o
Q9KV51                          0  0 o
Q9KV53                          0  0 o
Q9KV54                         14  0 o6-24i36-55o67-91i112-131o157-175i196-214o234-252i273-291o318-347i368-391o397-419i431-450o462-478i485-503o
Q9KV61                          0  0 i
Q9KV62                          0  0 o
Q9KV64                          0  0 o
Q9KV69                          0  0 o
Q9KV70                          0  0 o
Q9KV72                          0  0 o
Q9KV74                          2  0 o25-44i205-224o
Q9KV75                          0  0 o
Q9KV76                         12  0 i7-29o41-59i95-116o122-140i147-167o187-209i221-239o259-284i324-343o355-374i386-403o409-425i
Q9KV83                          0  0 o
Q9KV87                          0  0 o
Q9KV91                          5  0 o25-48i68-89o101-122i143-161o167-183i
Q9KVA7                          0  Y n3-10c14/15o
Q9KVB0                          0  Y n4-13c18/19o
Q9KVC7                          0  0 i
Q9KVC8                          0  0 o
Q9KVC9                          0  0 o
Q9KVE2                          0  0 o
Q9KVE5                          0  Y n6-16c22/23o
Q9KVF8                          0  0 o
Q9KVG9                          0  0 i
Q9KVI3                          0  0 o
Q9KVI7                          0  0 o
Q9KVI8                          0  Y n5-16c23/24o
Q9KVI9                          0  Y n4-14c22/23o
Q9KVJ4                          4  0 o55-74i198-218o255-280i301-320o
Q9KVJ5                          0  0 o
Q9KVJ7                          0  0 i
Q9KVK7                          6  0 o6-28i40-63o69-88i116-137o149-173i185-203o
Q9KVL8                          0  0 o
Q9KVM2                          0  0 o
Q9KVM7                          0  0 i
Q9KVM9                          0  Y n22-32c36/37o
Q9KVN0                          0  0 o
Q9KVN3                          0  0 o
Q9KVN6                          0  0 o
Q9KVP1                          0  0 o
Q9KVP4                          0  Y n6-17c23/24o
Q9KVP6                          0  0 o
Q9KVP7                          8  Y n19-30c35/36o45-66i87-107o113-130i137-155o161-179i210-229o235-253i265-283o
Q9KVP8                          0  0 o
Q9KVQ2                          0  Y n3-14c22/23o
Q9KVQ3                          6  0 i21-39o75-96i117-138o158-184i196-213o219-237i
Q9KVQ5                          0  Y n3-10c15/16o
Q9KVQ7                          1  0 o12-32i
Q9KVR1                          0  0 o
Q9KVR6                          0  0 o
Q9KVS0                         11  Y n15-23c29/30o53-71i78-98o104-125i137-159o165-187i208-233o253-273i280-299o305-326i338-357o369-391i
Q9KVS6                          0  0 o
Q9KVS9                          3  Y n3-14c19/20o35-57i69-85o105-124i
Q9KVT7                          0  0 o
Q9KVU3                          0  0 o
Q9KVU4                          0  0 o
Q9KVU7                         10  0 i7-31o37-58i70-92o132-157i178-199o233-253i273-290o331-352i388-410o454-479i
Q9KVV7                          0  0 o
Q9KVW1                          0  0 o
Q9KVW4                          0  0 o
